ID,data,tipo,categoria,valor,descricao
499,2025-01-01,entrada,Vendas de Produtos,8523.41,Transação referente a Vendas de Produtos
1496,2025-01-01,saida,Logística,3512.64,Transação referente a Logística
1344,2025-01-01,saida,Logística,4063.33,Transação referente a Logística
1173,2025-01-01,saida,Impostos,1614.41,Transação referente a Impostos
1192,2025-01-02,entrada,Rendimentos,6381.56,Transação referente a Rendimentos
624,2025-01-02,saida,Manutenção,1707.84,Transação referente a Manutenção
822,2025-01-02,saida,Folha Salarial,1830.09,Transação referente a Folha Salarial
126,2025-01-02,saida,Folha Salarial,437.84,Transação referente a Folha Salarial
1446,2025-01-02,saida,Logística,2425.79,Transação referente a Logística
638,2025-01-03,entrada,Vendas de Produtos,6386.77,Transação referente a Vendas de Produtos
903,2025-01-03,saida,Manutenção,3343.56,Transação referente a Manutenção
377,2025-01-03,entrada,Aportes,6141.85,Transação referente a Aportes
1319,2025-01-03,entrada,Aportes,2190.61,Transação referente a Aportes
1049,2025-01-04,saida,Logística,3759.44,Transação referente a Logística
1035,2025-01-04,saida,Manutenção,3557.22,Transação referente a Manutenção
653,2025-01-04,saida,Aluguel,1512.39,Transação referente a Aluguel
401,2025-01-04,saida,Folha Salarial,4404.76,Transação referente a Folha Salarial
312,2025-01-05,saida,Software SaaS,671.52,Transação referente a Software SaaS
45,2025-01-05,entrada,Vendas de Produtos,7255.71,Transação referente a Vendas de Produtos
270,2025-01-05,saida,Aluguel,1373.48,Transação referente a Aluguel
262,2025-01-05,saida,Manutenção,387.76,Transação referente a Manutenção
1036,2025-01-06,saida,Folha Salarial,1753.71,Transação referente a Folha Salarial
150,2025-01-06,entrada,Prestação de Serviços,4924.93,Transação referente a Prestação de Serviços
79,2025-01-06,saida,Marketing,466.22,Transação referente a Marketing
1396,2025-01-06,saida,Aluguel,680.75,Transação referente a Aluguel
74,2025-01-07,saida,Logística,2547.06,Transação referente a Logística
709,2025-01-07,saida,Aluguel,1406.0,Transação referente a Aluguel
1225,2025-01-07,saida,Manutenção,3882.69,Transação referente a Manutenção
114,2025-01-07,entrada,Rendimentos,7583.22,Transação referente a Rendimentos
781,2025-01-07,entrada,Prestação de Serviços,1176.81,Transação referente a Prestação de Serviços
1347,2025-01-08,entrada,Vendas de Produtos,9238.64,Transação referente a Vendas de Produtos
27,2025-01-08,saida,Logística,3548.6,Transação referente a Logística
1477,2025-01-08,entrada,Prestação de Serviços,13335.46,Transação referente a Prestação de Serviços
876,2025-01-08,saida,Manutenção,529.57,Transação referente a Manutenção
610,2025-01-08,saida,Software SaaS,2267.37,Transação referente a Software SaaS
141,2025-01-09,saida,Logística,798.85,Transação referente a Logística
130,2025-01-09,saida,Folha Salarial,992.33,Transação referente a Folha Salarial
1193,2025-01-09,saida,Impostos,4190.75,Transação referente a Impostos
680,2025-01-09,saida,Folha Salarial,1117.16,Transação referente a Folha Salarial
905,2025-01-10,entrada,Aportes,9565.94,Transação referente a Aportes
1281,2025-01-10,saida,Manutenção,1872.9,Transação referente a Manutenção
1379,2025-01-10,saida,Manutenção,1228.43,Transação referente a Manutenção
922,2025-01-10,saida,Folha Salarial,3482.1,Transação referente a Folha Salarial
928,2025-01-10,saida,Software SaaS,150.43,Transação referente a Software SaaS
1420,2025-01-11,entrada,Rendimentos,3413.16,Transação referente a Rendimentos
1151,2025-01-11,saida,Marketing,2103.58,Transação referente a Marketing
1200,2025-01-11,saida,Aluguel,2799.12,Transação referente a Aluguel
1168,2025-01-11,saida,Folha Salarial,3701.83,Transação referente a Folha Salarial
644,2025-01-11,entrada,Aportes,9964.6,Transação referente a Aportes
698,2025-01-11,entrada,Rendimentos,2449.88,Transação referente a Rendimentos
790,2025-01-12,saida,Manutenção,4179.05,Transação referente a Manutenção
546,2025-01-12,saida,Impostos,3099.49,Transação referente a Impostos
237,2025-01-12,saida,Folha Salarial,1313.37,Transação referente a Folha Salarial
92,2025-01-13,saida,Software SaaS,2734.36,Transação referente a Software SaaS
799,2025-01-13,entrada,Rendimentos,9056.85,Transação referente a Rendimentos
897,2025-01-14,entrada,Vendas de Produtos,4361.27,Transação referente a Vendas de Produtos
603,2025-01-14,saida,Impostos,2254.55,Transação referente a Impostos
1229,2025-01-14,saida,Software SaaS,2898.75,Transação referente a Software SaaS
852,2025-01-14,saida,Aluguel,1292.53,Transação referente a Aluguel
1131,2025-01-14,saida,Folha Salarial,2316.99,Transação referente a Folha Salarial
448,2025-01-14,entrada,Rendimentos,2933.04,Transação referente a Rendimentos
425,2025-01-14,entrada,Aportes,3683.32,Transação referente a Aportes
1356,2025-01-15,entrada,Prestação de Serviços,2821.27,Transação referente a Prestação de Serviços
240,2025-01-15,saida,Aluguel,1022.31,Transação referente a Aluguel
1029,2025-01-15,entrada,Rendimentos,1556.09,Transação referente a Rendimentos
433,2025-01-15,entrada,Prestação de Serviços,11941.19,Transação referente a Prestação de Serviços
1190,2025-01-16,saida,Software SaaS,3277.48,Transação referente a Software SaaS
20,2025-01-16,entrada,Prestação de Serviços,10221.66,Transação referente a Prestação de Serviços
1056,2025-01-16,entrada,Vendas de Produtos,2642.46,Transação referente a Vendas de Produtos
906,2025-01-16,entrada,Vendas de Produtos,3788.4,Transação referente a Vendas de Produtos
798,2025-01-17,saida,Folha Salarial,2582.17,Transação referente a Folha Salarial
791,2025-01-17,entrada,Vendas de Produtos,12036.23,Transação referente a Vendas de Produtos
1368,2025-01-17,entrada,Vendas de Produtos,5995.89,Transação referente a Vendas de Produtos
1227,2025-01-17,entrada,Prestação de Serviços,7477.02,Transação referente a Prestação de Serviços
877,2025-01-18,saida,Software SaaS,593.58,Transação referente a Software SaaS
